"COMPUTERNAME","OUPATH","ADDEDBY","DATEADDED","SUCCESSFUL","ERRORS"
"FOR A-0250-001","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:30 PM","True",""
"FOR A-0250-002","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:31 PM","True",""
"FOR A-0250-003","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:32 PM","True",""
"FOR A-0250-004","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:33 PM","True",""
"FOR A-0250-005","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:34 PM","True",""
"FOR A-0250-006","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:35 PM","True",""
"FOR A-0250-007","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:36 PM","True",""
"FOR A-0250-008","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:37 PM","True",""
"FOR A-0250-009","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:38 PM","True",""
"FOR A-0250-010","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:39 PM","True",""
"FOR A-0250-011","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:40 PM","True",""
"FOR A-0250-012","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:41 PM","True",""
"FOR A-0250-013","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:42 PM","True",""
"FOR A-0250-014","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:43 PM","True",""
"FOR A-0250-015","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:21:44 PM","True",""
"FORA-0250-001","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:10 PM","True",""
"FORA-0250-002","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:11 PM","True",""
"FORA-0250-003","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:12 PM","True",""
"FORA-0250-004","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:13 PM","True",""
"FORA-0250-005","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:14 PM","True",""
"FORA-0250-006","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:15 PM","True",""
"FORA-0250-007","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:16 PM","True",""
"FORA-0250-008","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:17 PM","True",""
"FORA-0250-009","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:18 PM","True",""
"FORA-0250-010","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:19 PM","True",""
"FORA-0250-011","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:20 PM","True",""
"FORA-0250-012","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:21 PM","True",""
"FORA-0250-013","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:22 PM","True",""
"FORA-0250-014","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:23 PM","True",""
"FORA-0250-015","OU=FORA-0250,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/18/2021 2:24:24 PM","True",""
"LIBR-CLAW-K01","OU=LIBR-0114,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/20/2021 1:17:04 PM","True",
"LIBR-CLAW-K02","OU=LIBR-0114,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/20/2021 1:17:42 PM","True",
"SCUF-SERV-001","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/27/2021 10:31:23 AM","True",
"ARCADIA","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/27/2021 10:49:49 AM","True",
"RAPTURE","OU=HotSpares,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","5/27/2021 10:56:49 AM","True",
"LIBR-0103-GA1","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/1/2021 11:09:52 AM","True",
"LIBR-0103-GA2","OU=LabAssist,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/1/2021 11:15:15 AM","True",
"KARL-0231-001","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","N/A","False","MAC Address is tied to PLSU-0111-03a"
"KARL-0231-002","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/18/2021 10:01:17 AM","True",""
"KARL-0231-005","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","N/A","False","MAC Address is tied to PLSU-0111-04a"
"KARL-0231-006","OU=KARL-0231,OU=CORE,OU=LABS,OU=COMPUTERS,OU=CUSTOM,DC=SGF,DC=EDUBEAR,DC=NET","RM-CORE-SAM","6/18/2021 10:01:19 AM","True",""
